State,District,Block,Total No. Of Works,Road Length,Sanction Cost
Andhra Pradesh,Srikakulam,Rajam,1,4.900,233.78
Andhra Pradesh,Srikakulam,Ranastalam,4,11.700,394.98
Andhra Pradesh,Srikakulam,Regidiamadalavalasa,2,6.000,230.05
Andhra Pradesh,Srikakulam,Santhabommali,2,7.450,270.50
Andhra Pradesh,Srikakulam,Santhakaviti, , , 
Andhra Pradesh,Srikakulam,Saravakota,3,12.100,466.25
Andhra Pradesh,Srikakulam,Sarubujjili,2,5.300,274.67
Andhra Pradesh,Srikakulam,Seethampeta,8,30.300,968.52
Andhra Pradesh,Srikakulam,Sompeta, , , 
Andhra Pradesh,Srikakulam,Srikakulam,1,1.400,20.88
Andhra Pradesh,Srikakulam,Tekkali, , , 
Andhra Pradesh,Srikakulam,Vajrapukothuru,1,1.320,49.95
Andhra Pradesh,Srikakulam,Vangara,2,5.000,232.05
Andhra Pradesh,Srikakulam,Veeraghattam,2,7.300,284.06
Andhra Pradesh,Tirupati,All Blocks, , , 
Andhra Pradesh,Visakhapatnam,Anakapalli,11,15.330,632.41
Andhra Pradesh,Visakhapatnam,Anandapuram,3,7.200,208.38
Andhra Pradesh,Visakhapatnam,Ananthagiri,4,16.360,523.12
Andhra Pradesh,Visakhapatnam,Araku Valley,4,11.680,401.51
Andhra Pradesh,Visakhapatnam,Atchutapuram,1,1.400,55.20
Andhra Pradesh,Visakhapatnam,Bheemunipatnam,2,4.140,114.99
Andhra Pradesh,Visakhapatnam,Butchayyapeta, , , 
Andhra Pradesh,Visakhapatnam,Cheedikada,1,0.770,21.70
Andhra Pradesh,Visakhapatnam,Chinagadila, , , 
Andhra Pradesh,Visakhapatnam,Chintapalle,2,17.500,602.33
Andhra Pradesh,Visakhapatnam,Chodavaram, , , 
Andhra Pradesh,Visakhapatnam,Devarapalle,3,17.900,496.29
Andhra Pradesh,Visakhapatnam,Dumbriguda, , , 
Andhra Pradesh,Visakhapatnam,Gajuwaka, , , 
Andhra Pradesh,Visakhapatnam,Gangaraju Madugula,1,9.000,308.00
Andhra Pradesh,Visakhapatnam,Golugonda,1,5.010,175.00
Andhra Pradesh,Visakhapatnam,Gudem Kothaveedhi,4,20.000,717.88
Andhra Pradesh,Visakhapatnam,Hukumpeta,1,6.000,240.00
Andhra Pradesh,Visakhapatnam,K Kotapadu,11,27.550,866.57
Andhra Pradesh,Visakhapatnam,Kasimkota, , , 
Andhra Pradesh,Visakhapatnam,Kotauratla,1,4.000,104.65
Andhra Pradesh,Visakhapatnam,Koyyuru,6,37.640,"1,187.60"
Andhra Pradesh,Visakhapatnam,Madugula, , , 
Andhra Pradesh,Visakhapatnam,Makavarapalem, , , 
Andhra Pradesh,Visakhapatnam,Munagapaka,1,3.650,149.21
Andhra Pradesh,Visakhapatnam,Munchingiputtu,5,22.090,759.40
Andhra Pradesh,Visakhapatnam,Nakkapalli,2,8.800,273.70
Andhra Pradesh,Visakhapatnam,Narsipatnam, , , 
Andhra Pradesh,Visakhapatnam,Nathavaram, , , 
Andhra Pradesh,Visakhapatnam,Paderu,4,38.660,"1,434.17"
Andhra Pradesh,Visakhapatnam,Padmanabham,5,10.320,284.54
Andhra Pradesh,Visakhapatnam,Paravada, , , 
Andhra Pradesh,Visakhapatnam,Payakaraopeta, , , 
Andhra Pradesh,Visakhapatnam,Pedabayalu,2,12.130,416.00
Andhra Pradesh,Visakhapatnam,Pedagantyada, , , 
Andhra Pradesh,Visakhapatnam,Pendurthi,1,1.580,48.34
Andhra Pradesh,Visakhapatnam,Rambilli, , , 
Andhra Pradesh,Visakhapatnam,Ravikamatham,2,5.700,159.24
Andhra Pradesh,Visakhapatnam,Rolugunta,3,11.025,366.40
Andhra Pradesh,Visakhapatnam,S Rayavaram,1,6.000,163.30
Andhra Pradesh,Visakhapatnam,Sabbavaram,1,3.000,117.45
Andhra Pradesh,Visakhapatnam,Visakhapatnam, , , 
Andhra Pradesh,Visakhapatnam,Yelamanchili, , , 
Andhra Pradesh,Vizianagaram,Badangi, , , 
Andhra Pradesh,Vizianagaram,Balijipeta,4,9.960,338.53
Andhra Pradesh,Vizianagaram,Bhoghapuram, , , 
Andhra Pradesh,Vizianagaram,Bobbili,2,2.610,112.93
Andhra Pradesh,Vizianagaram,Bondapalle,1,4.000,115.35
Andhra Pradesh,Vizianagaram,Cheepurupalle, , , 
Andhra Pradesh,Vizianagaram,Dattirajeru,4,10.050,432.98
Andhra Pradesh,Vizianagaram,Denkada,1,4.000,188.03
Andhra Pradesh,Vizianagaram,Gajapathinagaram,1,1.500,53.25
Andhra Pradesh,Vizianagaram,Gantyada,2,3.700,90.05
Andhra Pradesh,Vizianagaram,Garividi,2,6.300,240.93
Andhra Pradesh,Vizianagaram,Garugubilli, , , 
Andhra Pradesh,Vizianagaram,Gummalakshmipuram,3,5.500,265.23
Andhra Pradesh,Vizianagaram,Gurla,5,16.200,838.68
Andhra Pradesh,Vizianagaram,Jami,3,7.400,191.13
Andhra Pradesh,Vizianagaram,Jiyyamma Valasa,2,7.500,256.43
Andhra Pradesh,Vizianagaram,Komarada,2,10.100,401.62
Andhra Pradesh,Vizianagaram,Kothavalasa,1,2.200,78.20
Andhra Pradesh,Vizianagaram,Kurupam,2,12.780,508.52
Andhra Pradesh,Vizianagaram,Lakkavarapukota,1,5.000,169.04
Andhra Pradesh,Vizianagaram,Makkuva,1,1.100,27.00
Andhra Pradesh,Vizianagaram,Mentada,1,0.800,29.90
Andhra Pradesh,Vizianagaram,Merakamudidam,1,0.900,30.48
Andhra Pradesh,Vizianagaram,Nellimarla,1,3.200,177.10
Andhra Pradesh,Vizianagaram,Pachipenta, , , 
Andhra Pradesh,Vizianagaram,Parvathipuram,2,2.850,119.57
Andhra Pradesh,Vizianagaram,Pusapatirega, , , 
Andhra Pradesh,Vizianagaram,Ramabhadrapuram, , , 
Andhra Pradesh,Vizianagaram,Salur,3,21.875,"1,098.24"
Andhra Pradesh,Vizianagaram,Seethanagaram,1,2.340,164.80
Andhra Pradesh,Vizianagaram,Srungavarapukota, , , 
Andhra Pradesh,Vizianagaram,Therlam, , , 
Andhra Pradesh,Vizianagaram,Vepada,3,5.800,206.20
Andhra Pradesh,Vizianagaram,Vizianagaram, , , 
Andhra Pradesh,West Godavari,Achanta,2,4.600,225.83
Andhra Pradesh,West Godavari,AKIVIDU,1,3.100,107.22
Andhra Pradesh,West Godavari,Attili, , , 
Andhra Pradesh,West Godavari,Bheemavaram,1,2.980,120.06
Andhra Pradesh,West Godavari,Bhimadole,1,0.850,28.70
Andhra Pradesh,West Godavari,Buttayagudem,6,21.530,756.75
Andhra Pradesh,West Godavari,Chagallu,3,8.130,273.46
Andhra Pradesh,West Godavari,Chintalapudi, , , 
Andhra Pradesh,West Godavari,Denduluru,1,2.700,89.70
Andhra Pradesh,West Godavari,Devarapalle, , , 
Andhra Pradesh,West Godavari,Dwaraka Tirumala, , , 
Andhra Pradesh,West Godavari,Eluru, , , 
Andhra Pradesh,West Godavari,Ganapavaram,4,10.150,766.17
Andhra Pradesh,West Godavari,Gopalapuram,1,1.000,43.00
Andhra Pradesh,West Godavari,Iragavaram,2,2.300,57.96
Andhra Pradesh,West Godavari,Jangareddigudem,2,5.910,239.60
Andhra Pradesh,West Godavari,Jeelugumilli, , , 
Andhra Pradesh,West Godavari,Kalla, , , 
Andhra Pradesh,West Godavari,Kamavarapukota,1,2.020,82.80
Andhra Pradesh,West Godavari,Kovvur,1,2.910,74.75
Andhra Pradesh,West Godavari,Koyyalagudem, , , 
Andhra Pradesh,West Godavari,Lingapalem,7,16.270,652.80
Andhra Pradesh,West Godavari,Mogalthur,3,6.900,246.83
Andhra Pradesh,West Godavari,Nallajerla,1,2.000,40.00
Andhra Pradesh,West Godavari,Narasapuram,1,1.820,40.25
Andhra Pradesh,West Godavari,Nidadavole,2,4.200,180.55
Andhra Pradesh,West Godavari,Nidamarru,,,
Andhra Pradesh,West Godavari,Palacole,,,
Andhra Pradesh,West Godavari,Palakoderu,,,
Andhra Pradesh,West Godavari,Pedapadu,,,
Andhra Pradesh,West Godavari,Pedavegi,,,
Andhra Pradesh,West Godavari,Pentapadu,,,
Andhra Pradesh,West Godavari,Penugonda,,,
Andhra Pradesh,West Godavari,Penumantra,,,
Andhra Pradesh,West Godavari,Peravali,,,
Andhra Pradesh,West Godavari,Poduru,,,
Andhra Pradesh,West Godavari,Polavaram,,,
Andhra Pradesh,West Godavari,T Narasapuram,,,
Andhra Pradesh,West Godavari,Tadepalligudem,,,
Andhra Pradesh,West Godavari,Tanuku,,,
Andhra Pradesh,West Godavari,Thallapudi,,,
Andhra Pradesh,West Godavari,Undi,,,
Andhra Pradesh,West Godavari,Undrajavaram,,,
Andhra Pradesh,West Godavari,Unguturu,,,
Andhra Pradesh,West Godavari,Veeravasaram,,,
Andhra Pradesh,West Godavari,Yelamanchili,,,
Andhra Pradesh,West Godavari,Kukunoor,,,
Andhra Pradesh,West Godavari,Velairpad,,,
Andhra Pradesh,West Godavari,Burgampadu,,,
Andhra Pradesh,West Godavari,Burgampadu,,,
Andhra Pradesh,Y S R Kadapa,Atlur,,,
Andhra Pradesh,Y S R Kadapa,B Kodur,,,
Andhra Pradesh,Y S R Kadapa,B Mattam,,,
Andhra Pradesh,Y S R Kadapa,Badvel,,,
Andhra Pradesh,Y S R Kadapa,C K Dinne,,,
Andhra Pradesh,Y S R Kadapa,Chakrayapet,,,
Andhra Pradesh,Y S R Kadapa,Chapadu,,,
Andhra Pradesh,Y S R Kadapa,Chennur,,,
Andhra Pradesh,Y S R Kadapa,Chinnamandem,,,
Andhra Pradesh,Y S R Kadapa,Chitvel,,,
Andhra Pradesh,Y S R Kadapa,Cuddapah,,,
Andhra Pradesh,Y S R Kadapa,Duvvur,,,
Andhra Pradesh,Y S R Kadapa,Galiveedu,,,
Andhra Pradesh,Y S R Kadapa,Gopavaram,,,
Andhra Pradesh,Y S R Kadapa,Jammalamadugu,,,
Andhra Pradesh,Y S R Kadapa,Kalasapadu,,,
Andhra Pradesh,Y S R Kadapa,Kamalapuram,,,
Andhra Pradesh,Y S R Kadapa,Khajipet,,,
Andhra Pradesh,Y S R Kadapa,Kodur,,,
Andhra Pradesh,Y S R Kadapa,Kondapuram,,,
Andhra Pradesh,Y S R Kadapa,Lakkireddipalle,,,
Andhra Pradesh,Kurnool,Kodumur,1,3.800,139.94
Andhra Pradesh,Kurnool,Koilkuntla, , , 
Andhra Pradesh,Kurnool,Kolimigundla, , , 
Andhra Pradesh,Kurnool,Kosigi, , , 
Andhra Pradesh,Kurnool,Kothapalle,1,2.000,81.50
Andhra Pradesh,Kurnool,Kowthalam,1,1.850,56.81
Andhra Pradesh,Kurnool,Krishnagiri,2,11.200,339.53
Andhra Pradesh,Kurnool,Kurnool,2,7.300,217.27
Andhra Pradesh,Kurnool,Maddikera East,2,3.800,104.41
Andhra Pradesh,Kurnool,Mahanandi, , , 
Andhra Pradesh,Kurnool,Mantralayam, , , 
Andhra Pradesh,Kurnool,Midthur, , , 
Andhra Pradesh,Kurnool,Nandavaram,1,0.650,23.50
Andhra Pradesh,Kurnool,Nandi Kotkur, , , 
Andhra Pradesh,Kurnool,Nandyal, , , 
Andhra Pradesh,Kurnool,Orvakal, , , 
Andhra Pradesh,Kurnool,Owk, , , 
Andhra Pradesh,Kurnool,Pagidyala, , , 
Andhra Pradesh,Kurnool,Pamulapadu,1,6.000,228.00
Andhra Pradesh,Kurnool,Panyam, , , 
Andhra Pradesh,Kurnool,Pattikonda, , , 
Andhra Pradesh,Kurnool,Peapally,2,10.600,178.37
Andhra Pradesh,Kurnool,Pedda Kadubur,2,1.655,50.65
Andhra Pradesh,Kurnool,Rudravaram,2,4.500,148.00
Andhra Pradesh,Kurnool,Sanjamala, , , 
Andhra Pradesh,Kurnool,Sirvel, , , 
Andhra Pradesh,Kurnool,Srisailam, , , 
Andhra Pradesh,Kurnool,Tuggali, , , 
Andhra Pradesh,Kurnool,Uyyalawada, , , 
Andhra Pradesh,Kurnool,Veldurthi,1,1.400,48.52
Andhra Pradesh,Kurnool,Velgodu,1,0.710,35.39
Andhra Pradesh,Kurnool,Yemmiganur,2,4.850,112.10
Andhra Pradesh,Nandyal,All Blocks, , , 
Andhra Pradesh,Nellore,Allur, , , 
Andhra Pradesh,Nellore,Ananthasagaram, , , 
Andhra Pradesh,Nellore,Anumasamudrampeta, , , 
Andhra Pradesh,Nellore,Atmakur, , , 
Andhra Pradesh,Nellore,Balayapalle, , , 
Andhra Pradesh,Nellore,Bogole,1,4.125,143.00
Andhra Pradesh,Nellore,Butchireddipalem,2,4.400,169.00
Andhra Pradesh,Nellore,Chejerla, , , 
Andhra Pradesh,Nellore,Chillakur, , , 
Andhra Pradesh,Nellore,Chittamur,1,1.400,63.10
Andhra Pradesh,Nellore,Dagadarthi,3,6.300,266.59
Andhra Pradesh,Nellore,Dakkili,3,5.900,225.46
Andhra Pradesh,Nellore,Doravarisatram,1,1.000,30.47
Andhra Pradesh,Nellore,Duttalur, , , 
Andhra Pradesh,Nellore,Gudur,3,6.600,222.40
Andhra Pradesh,Nellore,Indukurpet,3,13.200,477.70
Andhra Pradesh,Nellore,Jaladanki,1,6.000,166.22
Andhra Pradesh,Nellore,Kaligiri,1,3.750,110.57
Andhra Pradesh,Nellore,Kaluvoya,2,10.000,328.00
Andhra Pradesh,Nellore,Kavali,1,8.950,331.50
Andhra Pradesh,Nellore,Kodavalur,1,2.000,80.25
Andhra Pradesh,Nellore,Kondapuram,2,8.325,269.78
Andhra Pradesh,Nellore,Kota,1,4.500,146.00
Andhra Pradesh,Nellore,Kovur, , , 
Andhra Pradesh,Nellore,Manubolu,3,6.700,199.93
Andhra Pradesh,Nellore,Marripadu,2,2.350,92.89
Andhra Pradesh,Nellore,Muthukur,2,7.600,301.70
Andhra Pradesh,Nellore,Naidupeta,1,3.800,68.42
Andhra Pradesh,Nellore,Nellore,1,3.400,91.00
Andhra Pradesh,Nellore,Ojili, , , 
Andhra Pradesh,Nellore,Pellakur,2,2.700,58.84
Andhra Pradesh,Nellore,Podlakur,4,36.115,"1,192.17"
Andhra Pradesh,Nellore,Rapur,1,7.000,212.60
Andhra Pradesh,Nellore,Sangam,2,5.000,237.70
Andhra Pradesh,Nellore,Seetharamapuram,3,6.700,224.13
Andhra Pradesh,Nellore,Sullurpeta, , , 
Andhra Pradesh,Nellore,Sydapuram,3,8.200,247.60
Andhra Pradesh,Nellore,Tada,1,3.550,57.70
Andhra Pradesh,Nellore,Thotapalligudur, , , 
Andhra Pradesh,Nellore,Udayagiri,2,2.786,116.56
Andhra Pradesh,Nellore,Vakadu,1,2.900,82.51
Andhra Pradesh,Nellore,Varikuntapadu, , , 
Andhra Pradesh,Nellore,Venkatachalam, , , 
Andhra Pradesh,Nellore,Venkatagiri,2,5.500,174.34
Andhra Pradesh,Nellore,Vidavalur,4,11.810,628.80
Andhra Pradesh,Nellore,Vinjamur,1,8.900,301.54
Andhra Pradesh,Ntr,All Blocks, , , 
Andhra Pradesh,Palnadu,All Blocks, , , 
Andhra Pradesh,Parvathipuram Manyam,All Blocks, , , 
Andhra Pradesh,Prakasam,Addanki, , , 
Andhra Pradesh,Prakasam,Ardhaveedu,3,7.200,251.90
Andhra Pradesh,Prakasam,Ballikuruva,1,5.500,206.00
Andhra Pradesh,Prakasam,Bestavaripeta, , , 
Andhra Pradesh,Prakasam,Chadrasekarapuram,2,8.500,316.65
Andhra Pradesh,Prakasam,Chimakurthi,1,7.500,229.25
Andhra Pradesh,Prakasam,Chinaganjam, , , 
Andhra Pradesh,Prakasam,Chirala,2,7.600,232.00
Andhra Pradesh,Prakasam,Cumbum, , , 
Andhra Pradesh,Prakasam,Darsi, , , 
Andhra Pradesh,Prakasam,Donakonda,2,36.900,"1,333.82"
Andhra Pradesh,Prakasam,Dornala, , , 
Andhra Pradesh,Prakasam,Giddaluru,1,8.500,239.50
Andhra Pradesh,Prakasam,Gudluru, , , 
Andhra Pradesh,Prakasam,Hanumanthunipadu, , , 
Andhra Pradesh,Prakasam,Inkollu, , , 
Andhra Pradesh,Prakasam,Janakavarampanguluru,1,5.620,173.12
Andhra Pradesh,Prakasam,Kandukur,2,17.600,559.06
Andhra Pradesh,Prakasam,Kanigiri,1,3.050,105.59
Andhra Pradesh,Prakasam,Karamchedu,1,3.200,103.00
Andhra Pradesh,Prakasam,Komarolu, , , 
Andhra Pradesh,Prakasam,Konakanamitla, , , 
Andhra Pradesh,Prakasam,Kondapi,1,12.700,425.42
Andhra Pradesh,Prakasam,Korisapadu, , , 
Andhra Pradesh,Prakasam,Kothapatnam,1,3.540,107.01
Andhra Pradesh,Prakasam,Kurichedu,1,11.900,421.00
Andhra Pradesh,Prakasam,Lingasamudram,4,16.726,543.92
Andhra Pradesh,Prakasam,Maddipadu, , , 
Andhra Pradesh,Prakasam,Markapur, , , 
Andhra Pradesh,Prakasam,Marripudi, , , 
Andhra Pradesh,Prakasam,Martur,2,10.500,446.00
Andhra Pradesh,Prakasam,Mundlamuru,2,14.200,525.98
Andhra Pradesh,Prakasam,Naguluppalapadu, , , 
Andhra Pradesh,Prakasam,Ongole, , , 
Andhra Pradesh,Prakasam,Pamur,4,15.700,525.93
Andhra Pradesh,Prakasam,Parchur,1,9.600,91.50
Andhra Pradesh,Prakasam,Pedaaraveedu,,,
Andhra Pradesh,Prakasam,Pedacherlopalle,,,
Andhra Pradesh,Prakasam,Podili,,,
Andhra Pradesh,Prakasam,Ponnaluru,,,
Andhra Pradesh,Prakasam,Pullalacheruvu,,,
Andhra Pradesh,Prakasam,Racherla,,,
Andhra Pradesh,Prakasam,Santhamaguluru,,,
Andhra Pradesh,Prakasam,Santhanuthlapadu,,,
Andhra Pradesh,Prakasam,Singarayakonda,,,
Andhra Pradesh,Prakasam,Tangutur,,,
Andhra Pradesh,Prakasam,Tarlapadu,,,
Andhra Pradesh,Prakasam,Thallur,,,
Andhra Pradesh,Prakasam,Tripuranthakam,,,
Andhra Pradesh,Prakasam,Ulavapadu,,,
Andhra Pradesh,Prakasam,Veligandla,,,
Andhra Pradesh,Prakasam,Vetapalem,,,
Andhra Pradesh,Prakasam,Voletivaripalem,,,
Andhra Pradesh,Prakasam,Yeddanapudi,,,
Andhra Pradesh,Prakasam,Yerragondapalem,,,
Andhra Pradesh,Prakasam,Zarugumilli,,,
Andhra Pradesh,Sri Sathya Sai,All Blocks,,,
Andhra Pradesh,Srikakulam,Amadalavalasa,,,
Andhra Pradesh,Srikakulam,Bhamini,,,
Andhra Pradesh,Srikakulam,Burja,,,
Andhra Pradesh,Srikakulam,Etcherla,,,
Andhra Pradesh,Srikakulam,Ganguvari Singadam,,,
Andhra Pradesh,Srikakulam,Gara,,,
Andhra Pradesh,Srikakulam,Hiramandalam,,,
Andhra Pradesh,Srikakulam,Ichchapuram,,,
Andhra Pradesh,Srikakulam,Jalumuru,,,
Andhra Pradesh,Srikakulam,Kanchili,,,
Andhra Pradesh,Srikakulam,Kaviti,,,
Andhra Pradesh,Srikakulam,Kotabommili,,,
Andhra Pradesh,Srikakulam,Kothuru,,,
Andhra Pradesh,Srikakulam,L N Peta,,,
Andhra Pradesh,Srikakulam,Laveru,,,
Andhra Pradesh,Srikakulam,Mandasa,,,
Andhra Pradesh,Srikakulam,Meilaputti,,,
Andhra Pradesh,Srikakulam,Nandigam,,,
Andhra Pradesh,Srikakulam,Narasannapeta,,,
Andhra Pradesh,Srikakulam,Palakonda,,,
Andhra Pradesh,Srikakulam,Palasa,,,
Andhra Pradesh,Srikakulam,Pathapatnam,,,
Andhra Pradesh,Srikakulam,Polaki,,,
Andhra Pradesh,Srikakulam,Ponduru,,,
Rajasthan,Dholpur,Rajakhera, , , 
Rajasthan,Didwana Kuchaman,Didwana,1,10.500,254.01
Rajasthan,Didwana Kuchaman,Ladnu, , , 
Rajasthan,Didwana Kuchaman,Parbatsar,1,8.000,186.20
Rajasthan,Didwana Kuchaman,Makrana, , , 
Rajasthan,Didwana Kuchaman,Kuchaman City,1,20.000,336.66
Rajasthan,Dudu,Dudu,3,40.130,"1,039.43"
Rajasthan,Dungarpur,Aspur, , , 
Rajasthan,Dungarpur,Bichhiwara, , , 
Rajasthan,Dungarpur,Dungarpur, , , 
Rajasthan,Dungarpur,Sagwara, , , 
Rajasthan,Dungarpur,Simalwara, , , 
Rajasthan,Gangapurcity,Nadoti,1,10.200,214.71
Rajasthan,Gangapurcity,Gangapur,2,15.200,455.49
Rajasthan,Gangapurcity,Todabhim,5,27.590,503.73
Rajasthan,Gangapurcity,Bamanwas,1,5.500,167.45
Rajasthan,Hanumangarh,Bhadra,1,27.000,742.06
Rajasthan,Hanumangarh,Hanumangarh, , , 
Rajasthan,Hanumangarh,Nohar, , , 
Rajasthan,Hanumangarh,Pilibanga, , , 
Rajasthan,Hanumangarh,Rawatsar,1,4.000,121.04
Rajasthan,Hanumangarh,Sangaria,1,6.000,222.40
Rajasthan,Hanumangarh,Tibi, , , 
Rajasthan,Jaipur,All Blocks, , , 
Rajasthan,Jaipur Gramin,Phagi,1,11.140,298.79
Rajasthan,Jaipur Gramin,Jhotwara,1,10.330,249.77
Rajasthan,Jaipur Gramin,Amber,3,40.000,969.28
Rajasthan,Jaipur Gramin,Bassi,2,27.680,748.30
Rajasthan,Jaipur Gramin,Chaksu,3,35.100,"1,018.37"
Rajasthan,Jaipur Gramin,Govindgarh,1,13.760,320.37
Rajasthan,Jaipur Gramin,Jamwa Ramgarh,2,24.000,613.04
Rajasthan,Jaipur Gramin,Sambhar,2,25.400,602.29
Rajasthan,Jaipur Gramin,Sanganer, , , 
Rajasthan,Jaipur Gramin,Shahpura,1,12.630,323.16
Rajasthan,Jaisalmer,Jaisalmer,14,103.000,"1,839.31"
Rajasthan,Jaisalmer,Sam,8,74.700,"1,268.36"
Rajasthan,Jaisalmer,Sankra (Pokaran),4,52.000,945.91
Rajasthan,Jalor,Ahore, , , 
Rajasthan,Jalor,Bhinmal, , , 
Rajasthan,Jalor,Jalor, , , 
Rajasthan,Jalor,Jaswantpura, , , 
Rajasthan,Jalor,Sayla, , , 
Rajasthan,Jhalawar,Bakani, , , 
Rajasthan,Jhalawar,Dug, , , 
Rajasthan,Jhalawar,Jhalrapatan, , , 
Rajasthan,Jhalawar,Khanpur, , , 
Rajasthan,Jhalawar,Manohar Thana, , , 
Rajasthan,Jhalawar,Pirawa (Sunel),1,30.400,819.56
Rajasthan,Jhunjhunun,Alsisar, , , 
Rajasthan,Jhunjhunun,Buhana,4,16.000,431.46
Rajasthan,Jhunjhunun,Chirawa,3,14.200,358.74
Rajasthan,Jhunjhunun,Jhunjhunun,8,78.500,"1,763.77"
Rajasthan,Jhunjhunun,Nawalgarh,4,36.750,917.04
Rajasthan,Jhunjhunun,Surajgarh,4,18.500,454.90
Rajasthan,Jodhpur,All Blocks, , , 
Rajasthan,Jodhpur Gramin,Bilara,4,31.250,338.80
Rajasthan,Jodhpur Gramin,Balesar,4,29.350,568.71
Rajasthan,Jodhpur Gramin,Baori,1,5.000,87.02
Rajasthan,Jodhpur Gramin,Bhopalgarh,4,35.000,784.76
Rajasthan,Jodhpur Gramin,Luni,3,22.600,223.86
Rajasthan,Jodhpur Gramin,Mandor,2,13.500,174.98
Rajasthan,Jodhpur Gramin,Osian,4,24.050,276.87
Rajasthan,Jodhpur Gramin,Shergarh,3,18.000,254.65
Rajasthan,Karauli,Hindaun,1,12.300,145.26
Rajasthan,Karauli,Karauli,1,12.000,251.42
Rajasthan,Karauli,Sapotra,1,10.000,175.94
Rajasthan,Kekri,Bhinay, , , 
Rajasthan,Kekri,Kekri, , , 
Rajasthan,Khairthal Tijara,Kishangarh Bas, , , 
Rajasthan,Khairthal Tijara,Kotkasim, , , 
Rajasthan,Khairthal Tijara,Mundawar,3,38.130,850.03
Rajasthan,Khairthal Tijara,Tijara,3,42.200,976.00
Rajasthan,Kota,Itawa,1,11.100,327.80
Rajasthan,Kota,Kherabad,1,6.500,193.17
Rajasthan,Kota,Ladpura,1,6.550,195.28
Rajasthan,Kota,Sangod, , , 
Rajasthan,Kota,Sultanpur,1,29.500,842.18
Rajasthan,Kotputli Behror,Bansur,5,64.075,"1,903.98"
Rajasthan,Kotputli Behror,Nimrana,1,10.150,259.39
Rajasthan,Kotputli Behror,Behror, , , 
Rajasthan,Kotputli Behror,Kotputli, , , 
Rajasthan,Kotputli Behror,Viratnagar (Bairath),1,15.930,400.01
Rajasthan,Nagaur,Degana,1,2.600,60.33
Rajasthan,Nagaur,Jayal,1,19.530,352.00
Rajasthan,Nagaur,Merta,2,9.500,214.94
Rajasthan,Nagaur,Mundwa,1,29.200,555.63
Rajasthan,Nagaur,Nagaur, , , 
Rajasthan,Nagaur,Riyan, , , 
Rajasthan,Neem Ka Thana,Udaipurwati, , , 
Rajasthan,Neem Ka Thana,Khetri,4,23.500,645.75
Rajasthan,Neem Ka Thana,Neem Ka Thana,2,31.000,720.54
Rajasthan,Neem Ka Thana,Sri Madhopur,2,29.650,555.86
Rajasthan,Pali,Bali,2,25.500,711.23
Rajasthan,Pali,Desuri, , , 
Rajasthan,Pali,Marwar Junction, , , 
Rajasthan,Pali,Pali,1,13.000,366.94
Rajasthan,Pali,Rani, , , 
Rajasthan,Pali,Rohat, , , 
Rajasthan,Pali,Sojat, , , 
Rajasthan,Pali,Sumerpur, , , 
